,Discovery Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Yesterday
247,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
248,12:15  -  12:29,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
249,15:15  -  15:29,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
250,22:15  -  22:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
251,19:15  -  19:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
252,12:00  -  12:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
253,15:45  -  15:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
254,18:45  -  18:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
255,13:00  -  13:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
256,10:15  -  10:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
257,18:15  -  18:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
258,13:15  -  13:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
259,19:45  -  19:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
260,17:15  -  17:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
261,12:30  -  12:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                       21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                   14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14                                                                                                                                                                                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                          11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44                                                                                                                                                                                                                                                                                      20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                                     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
