,E! Entertainment  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Monday
218,21:15  -  21:29,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
219,14:15  -  14:29,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
220,22:00  -  22:14,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
221,12:45  -  12:59,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
222,15:00  -  15:14,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
223,19:30  -  19:44,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
224,17:30  -  17:44,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
225,11:00  -  11:14,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
226,14:00  -  14:14,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
227,13:30  -  13:44,134849446,Central,Mkushi,Urban,Female,2,,DE,Secondary,Christian,Employed for cash,,Do not know,,25 – 34,"                                                                                                                            19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59         19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                           14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                    23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14                                                                                                                                                      8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14  12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44                                                   11:00  -  11:14,11:15  -  11:29,11:30  -  11:44     18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44             22:45  -  22:59,23:00  -  23:14,23:15  -  23:29                                             6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14         16:15  -  16:29                                                                                                                                                                                                       "
