,Discovery Channel  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Wednesday
87,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
88,19:45  -  19:59,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
89,10:30  -  10:44,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
90,20:15  -  20:29,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
91,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
92,20:30  -  20:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
93,19:00  -  19:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
94,18:00  -  18:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
95,19:15  -  19:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
96,19:30  -  19:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
97,18:45  -  18:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
98,21:00  -  21:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
99,10:15  -  10:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
100,18:15  -  18:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
101,20:00  -  20:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
102,20:45  -  20:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
103,18:30  -  18:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
104,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
105,19:45  -  19:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
106,10:30  -  10:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
107,20:15  -  20:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
